,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Deep_Blue_Aerosol_Optical_Depth_550_Land,AOD_550_Dark_Target_Deep_Blue_Combined,AOD_550_Dark_Target_Deep_Blue_Combined_QA_Flag,Aerosol_Cloud_Fraction_Land,Image_Optical_Depth_Land_And_Ocean,Location
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.582846000000004,77.23436600000001,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Jawaharlal Nehru Stadium, Delhi - DPCC"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.59,77.24,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Lodhi Road, New Delhi - IMD"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.612441999999998,77.23727199999999,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Major Dhyan Chand National Stadium, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.6341,77.2005,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Mandir Marg, New Delhi - DPCC"
18224,2016.0,3.0,24.0,7.0,23.0,27.0,28.608052,77.036187,0.4870000231312588,-9999.0,0.0,0.7850000372854993,0.5360000254586339,"NSIT Dwarka, New Delhi - CPCB"
18224,2016.0,3.0,24.0,7.0,23.0,27.0,28.609013,76.985453,0.4870000231312588,-9999.0,0.0,0.7850000372854993,0.5360000254586339,"Najafgarh, Delhi - DPCC"
18493,2016.0,3.0,24.0,7.0,23.0,30.0,28.853959999999997,77.09178399999999,0.5590000265510753,-9999.0,0.0,0.8070000383304432,0.9800000465475023,"Narela, Delhi - DPCC"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.563867,77.26080999999999,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Nehru Nagar, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.688812,77.20727099999999,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"North Campus, DU, New Delhi - IMD"
17953,2016.0,3.0,24.0,7.0,23.0,24.0,28.535763,77.276433,0.41800001985393465,0.5430000257911161,3.0,0.1520000072196126,0.5430000257911161,"Okhla Phase-2, Delhi - DPCC"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.619988,77.292355,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Patparganj, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.6683,77.1167,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Punjabi Bagh, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.637672,77.15714399999999,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Pusa, New Delhi - IMD"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.5648,77.1744,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"R K Puram, New Delhi - DPCC"
18494,2016.0,3.0,24.0,7.0,23.0,30.0,28.749471999999997,77.056533,-9999.0,-9999.0,0.0,1.0000000474974513,-9999.0,"Rohini, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.651558,77.158194,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Shadipur, New Delhi - CPCB"
18088,2016.0,3.0,24.0,7.0,23.0,25.0,28.54965,77.21215,0.43400002061389387,0.5350000254111364,3.0,0.12900000612717122,0.5350000254111364,"Sirifort, New Delhi - CPCB"
18358,2016.0,3.0,24.0,7.0,23.0,28.0,28.733247,77.249589,0.6400000303983688,0.8690000412752852,3.0,0.3120000148192048,0.8690000412752852,"Sonia Vihar, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.671246000000004,77.317654,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Vivek Vihar, Delhi - DPCC"
18223,2016.0,3.0,24.0,7.0,23.0,27.0,28.700217,77.16379,0.5610000266460702,0.7120000338181853,3.0,0.06700000318232924,0.7120000338181853,"Wazirpur, Delhi - DPCC"
27287,2016.0,9.0,4.0,8.0,35.0,7.0,28.6508,77.3152,-9999.0,-9999.0,0.0,0.9900000470224768,-9999.0,"Anand Vihar, Delhi - DPCC"
